zip_code,year,dob_calls_311
10119,2014 ,7
10119,2015 ,1
10119,2016 ,2
10119,2017 ,4
10119,2018 ,10
10119,2019 ,3
10119,2020 ,3
10119,2022 ,1
10119,2023 ,4
10120,2016 ,1
10120,2018 ,2
10120,2019 ,1
10120,2020 ,2
10121,2011 ,27
10121,2012 ,15
10121,2013 ,5
10121,2014 ,1
10121,2015 ,2
10121,2016 ,2
10121,2019 ,2
10121,2020 ,2
10121,2021 ,2
10121,2022 ,3
10122,2014 ,1
10122,2017 ,2
10122,2018 ,1
10122,2019 ,1
10122,2021 ,2
10123,2013 ,2
10123,2015 ,1
10123,2016 ,3
10123,2017 ,2
10123,2018 ,3
10123,2020 ,1
10123,2021 ,1
10128,2011 ,328
10128,2012 ,408
10128,2013 ,380
10128,2014 ,479
10128,2015 ,391
10128,2016 ,496
10128,2017 ,526
10128,2018 ,558
10128,2019 ,583
10128,2020 ,465
10128,2021 ,358
10128,2022 ,357
10128,2023 ,215
10129,2014 ,1
10129,2015 ,3
10129,2016 ,5
10151,2017 ,1
10151,2018 ,1
10151,2019 ,3
10151,2020 ,1
10151,2022 ,1
10152,2018 ,1
10153,2014 ,5
10153,2017 ,4
10153,2018 ,3
10153,2019 ,1
10153,2020 ,1
10153,2021 ,1
10153,2023 ,2
10154,2012 ,1
10154,2016 ,1
10154,2019 ,1
10154,2020 ,2
10155,2016 ,1
10155,2019 ,4
10155,2022 ,1
10155,2023 ,1
10158,2014 ,1
10158,2018 ,4
10158,2019 ,1
10162,2011 ,2
10162,2013 ,1
10162,2014 ,2
10162,2015 ,2
10162,2017 ,3
10162,2019 ,1
10162,2020 ,1
10162,2022 ,2
10162,2023 ,1
10165,2015 ,3
10165,2016 ,1
10165,2019 ,1
10165,2020 ,1
10167,2014 ,6
10167,2015 ,3
10167,2016 ,3
10167,2017 ,1
10167,2019 ,2
10168,2014 ,1
10168,2018 ,2
10168,2019 ,3
10168,2021 ,1
10169,2013 ,1
10169,2015 ,1
10169,2016 ,3
10169,2017 ,6
10169,2018 ,5
10169,2019 ,3
10169,2020 ,3
10169,2022 ,3
10170,2017 ,1
10170,2019 ,1
10170,2020 ,1
10170,2021 ,3
10171,2016 ,1
10171,2017 ,1
10171,2019 ,1
10171,2020 ,1
10172,2013 ,1
10172,2015 ,2
10172,2016 ,1
10172,2017 ,2
10172,2019 ,7
10172,2020 ,1
10172,2022 ,1
10173,2017 ,1
10173,2019 ,1
10173,2023 ,1
10174,2013 ,1
10174,2015 ,1
10174,2016 ,1
10174,2018 ,1
10174,2019 ,1
10174,2020 ,2
10175,2018 ,1
10176,2012 ,1
10176,2017 ,3
10176,2018 ,1
10176,2020 ,2
10176,2021 ,2
10177,2020 ,3
10178,2017 ,1
10178,2018 ,1
10178,2019 ,1
10178,2022 ,1
10178,2023 ,1
10179,2015 ,1
10179,2019 ,1
10179,2020 ,1
10179,2021 ,1
10179,2022 ,1
10179,2023 ,2
10271,2013 ,1
