zip_code,year,evictions,eviction_filings
10460,2022,0,78
10460,2023,0,107
10461,2017,0,140
10461,2018,0,138
10461,2019,0,123
10461,2020,0,16
10461,2022,0,36
10461,2023,0,43
10462,2017,0,346
10462,2018,0,336
10462,2019,0,295
10462,2020,0,54
10462,2021,0,5
10462,2022,0,48
10462,2023,0,78
10463,2017,2,211
10463,2018,0,205
10463,2019,0,193
10463,2020,0,33
10463,2021,0,1
10463,2022,0,47
10463,2023,0,46
10464,2017,0,12
10464,2018,0,10
10464,2019,0,5
10464,2020,0,4
10464,2022,0,1
10464,2023,0,3
10465,2017,0,53
10465,2018,0,35
10465,2019,0,61
10465,2020,0,11
10465,2022,0,17
10465,2023,0,11
10466,2017,4,379
10466,2018,1,391
10466,2019,1,346
10466,2020,0,55
10466,2021,0,1
10466,2022,0,64
10466,2023,0,75
10467,2017,0,638
10467,2018,0,595
10467,2019,2,517
10467,2020,0,96
10467,2021,0,4
10467,2022,0,110
10467,2023,0,172
10468,2017,0,552
10468,2018,0,469
10468,2019,0,283
10468,2020,1,63
10468,2021,0,3
10468,2022,0,74
10468,2023,0,121
10469,2017,3,217
10469,2018,1,185
10469,2019,1,205
10469,2020,0,34
10469,2022,0,52
10469,2023,1,48
10470,2017,0,89
10470,2018,0,75
10470,2019,1,80
10470,2020,0,12
10470,2022,0,12
10470,2023,0,14
10471,2017,0,48
10471,2018,0,42
10471,2019,0,32
10471,2020,0,5
10471,2022,0,8
10471,2023,0,14
10472,2017,0,345
10472,2018,0,336
10472,2019,1,279
10472,2020,0,43
10472,2021,0,1
10472,2022,0,52
10472,2023,0,65
10473,2017,0,180
10473,2018,1,166
10473,2019,0,172
10473,2020,0,19
10473,2022,0,34
10473,2023,0,33
10474,2017,0,83
10474,2018,0,99
10474,2019,0,92
10474,2020,0,12
10474,2022,0,21
10474,2023,0,14
10475,2017,0,86
10475,2018,0,95
10475,2019,0,80
10475,2020,0,18
10475,2022,0,10
10475,2023,0,15
11001,2017,0,1
11001,2018,0,1
11001,2019,0,4
11004,2017,0,7
11004,2018,0,6
11004,2019,0,4
11004,2023,0,3
11005,2023,0,1
11017,2019,0,1
11024,2019,0,1
11038,2023,0,2
11039,2018,0,1
11040,2017,0,1
11040,2018,0,5
11040,2019,0,3
11040,2020,0,2
11101,2017,0,91
11101,2018,0,78
11101,2019,0,66
11101,2020,0,14
11101,2021,0,1
11101,2022,0,24
11101,2023,0,19
11102,2017,0,54
11102,2018,0,46
11102,2019,0,48
11102,2020,0,10
11102,2021,0,1
11102,2022,0,5
11102,2023,0,11
11103,2017,0,64
11103,2018,0,50
11103,2019,0,43
11103,2020,0,13
11103,2022,0,14
11103,2023,0,13
11104,2017,0,43
11104,2018,0,43
11104,2019,0,47
11104,2020,0,15
11104,2022,0,16
11104,2023,0,8
11105,2017,0,54
11105,2018,0,48
11105,2019,0,31
11105,2020,0,11
11105,2022,0,16
11105,2023,0,21
11106,2017,0,61
11106,2018,0,67
11106,2019,0,57
11106,2020,0,7
11106,2022,0,12
11106,2023,0,9
11109,2017,0,10
11109,2018,0,14
11109,2019,0,9
11109,2020,0,2
11109,2022,0,3
11137,2018,0,2
11201,2017,0,64
11201,2018,0,59
11201,2019,1,68
11201,2020,0,17
11201,2021,0,4
11201,2022,0,32
11201,2023,0,28
11202,2017,0,1
11203,2017,1,341
11203,2018,0,326
11203,2019,0,290
11203,2020,0,63
11203,2021,0,6
11203,2022,0,99
11203,2023,2,95
11204,2017,0,72
11204,2018,0,76
11204,2019,0,57
11204,2020,0,12
11204,2022,0,23
11204,2023,0,31
11205,2017,0,94
11205,2018,0,83
11205,2019,0,70
11205,2020,0,17
11205,2021,0,1
11205,2022,0,39
11205,2023,0,36
11206,2017,0,145
11206,2018,0,141
11206,2019,0,146
11206,2020,0,15
11206,2021,0,1
11206,2022,0,40
11206,2023,0,48
11207,2017,0,420
11207,2018,0,460
11207,2019,0,386
11207,2020,0,80
11207,2021,0,7
11207,2022,0,97
11207,2023,0,132
11208,2017,0,436
11208,2018,0,485
11208,2019,0,379
11208,2020,0,47
11208,2021,1,NA
11208,2022,0,80
11208,2023,0,105
11209,2017,0,121
11209,2018,0,124
11209,2019,0,94
11209,2020,0,21
11209,2021,0,3
11209,2022,0,38
11209,2023,1,50
11210,2017,0,232
11210,2018,0,263
11210,2019,0,166
11210,2020,0,36
11210,2021,0,3
11210,2022,0,67
11210,2023,0,82
11211,2017,0,73
11211,2018,0,69
11211,2019,0,75
11211,2020,0,9
11211,2021,0,2
