arrest_precinct,year,count
5,2018,4570
6,2018,2722
7,2018,2311
9,2018,2310
10,2018,1954
13,2018,3202
14,2018,8097
17,2018,1491
18,2018,3883
19,2018,2352
20,2018,1622
22,2018,137
23,2018,3348
24,2018,1803
25,2018,5356
26,2018,1778
28,2018,2320
30,2018,1631
32,2018,3130
33,2018,2651
34,2018,3096
40,2018,6730
41,2018,3748
42,2018,4278
43,2018,4842
44,2018,7123
45,2018,2617
46,2018,5743
47,2018,5182
48,2018,4604
49,2018,3344
50,2018,1320
52,2018,5915
60,2018,3880
61,2018,2231
62,2018,1653
63,2018,2051
66,2018,1293
67,2018,4736
68,2018,2502
69,2018,2176
70,2018,3874
71,2018,3072
72,2018,3286
73,2018,5482
75,2018,6694
76,2018,2080
77,2018,3650
78,2018,1783
79,2018,3828
81,2018,2157
83,2018,3053
84,2018,3607
88,2018,1415
90,2018,2539
94,2018,1365
100,2018,1552
101,2018,2701
102,2018,3496
103,2018,4132
104,2018,2624
105,2018,3195
106,2018,2777
107,2018,2309
108,2018,1929
109,2018,3984
110,2018,3656
111,2018,1055
112,2018,1628
113,2018,6251
114,2018,4281
115,2018,4370
120,2018,4587
121,2018,2609
122,2018,2004
123,2018,1224
1,2019,2687
5,2019,4066
6,2019,2211
7,2019,2088
9,2019,1903
10,2019,1890
13,2019,2804
14,2019,6051
17,2019,1311
18,2019,3108
19,2019,2468
20,2019,1439
22,2019,88
23,2019,2820
24,2019,1407
25,2019,4693
26,2019,1605
28,2019,2109
30,2019,1516
32,2019,2979
33,2019,2209
34,2019,2435
40,2019,7098
41,2019,3155
42,2019,3703
43,2019,4007
44,2019,6465
45,2019,2235
46,2019,4724
47,2019,4566
48,2019,3551
49,2019,2799
50,2019,1380
52,2019,5131
60,2019,3194
61,2019,2032
62,2019,1801
63,2019,1772
66,2019,1252
67,2019,4038
68,2019,2060
69,2019,1525
70,2019,3020
71,2019,2574
72,2019,3151
73,2019,4409
75,2019,6024
76,2019,1682
77,2019,2978
78,2019,1320
79,2019,3061
81,2019,1893
83,2019,2743
84,2019,3049
88,2019,1283
90,2019,2453
94,2019,973
100,2019,1358
101,2019,2134
102,2019,2814
103,2019,4050
104,2019,2238
105,2019,2710
106,2019,2419
107,2019,2008
108,2019,1784
109,2019,3496
110,2019,3283
111,2019,945
112,2019,1653
113,2019,6036
114,2019,3566
115,2019,4103
120,2019,3704
121,2019,2520
122,2019,1833
123,2019,975
1,2020,1407
5,2020,2199
6,2020,1807
7,2020,1267
9,2020,1277
10,2020,1175
13,2020,1751
14,2020,3047
17,2020,869
18,2020,1896
19,2020,1490
20,2020,748
22,2020,50
23,2020,1938
24,2020,1233
25,2020,2789
26,2020,1016
28,2020,1429
30,2020,1018
32,2020,1852
33,2020,1495
34,2020,1469
40,2020,4379
41,2020,2287
42,2020,2517
43,2020,3164
44,2020,3808
45,2020,1444
46,2020,3371
47,2020,3140
48,2020,2490
49,2020,1819
50,2020,1109
52,2020,3196
60,2020,2219
61,2020,1395
62,2020,1163
63,2020,1357
66,2020,972
67,2020,2612
68,2020,1353
69,2020,1034
70,2020,1935
71,2020,1468
72,2020,2027
73,2020,2776
75,2020,3793
76,2020,762
77,2020,2113
78,2020,791
79,2020,2523
81,2020,1281
83,2020,1875
84,2020,1748
88,2020,984
90,2020,1455
94,2020,623
100,2020,881
101,2020,1560
102,2020,1934
103,2020,2993
104,2020,1901
105,2020,2082
106,2020,1735
107,2020,1334
108,2020,997
109,2020,2240
110,2020,2183
111,2020,578
112,2020,1063
113,2020,3317
114,2020,2659
115,2020,2556
120,2020,2379
121,2020,1870
122,2020,1227
123,2020,719
1,2021,1753
5,2021,2427
6,2021,1430
7,2021,1622
9,2021,1672
10,2021,1496
13,2021,2039
14,2021,4762
17,2021,939
18,2021,2421
19,2021,1549
20,2021,999
22,2021,50
23,2021,1865
24,2021,1506
25,2021,2911
26,2021,1005
28,2021,1923
30,2021,1473
32,2021,2352
33,2021,2051
34,2021,1412
