zip_code,avg_zhvi_2000,avg_zhvi_2001,avg_zhvi_2002,avg_zhvi_2003,avg_zhvi_2004,avg_zhvi_2005,avg_zhvi_2006,avg_zhvi_2007,avg_zhvi_2008,avg_zhvi_2009,avg_zhvi_2010,avg_zhvi_2011,avg_zhvi_2012,avg_zhvi_2013,avg_zhvi_2014,avg_zhvi_2015,avg_zhvi_2016,avg_zhvi_2017,avg_zhvi_2018,avg_zhvi_2019,avg_zhvi_2020,avg_zhvi_2021,avg_zhvi_2022,avg_zhvi_2023
10510,417049.76275,483709.6527,528430.5577333333,603984.5574666667,668074.9908416667,744799.4341,797830.9799416666,783223.9604666666,737975.5316083333,687979.3527666667,659494.89015,635038.0018166667,620440.0650083333,645477.2925166667,686668.0444833334,696833.0945333333,718657.881325,737506.4577083334,759611.5654083333,760541.3348833333,754486.2507833333,827726.282075,905399.65365,929604.79156
10511,216342.88130833334,218728.38029166666,251491.464825,308503.7875916667,334936.225875,374329.33118333336,412580.5449,423072.3525583333,407141.938025,369565.95996666665,360694.1791,352297.44279166666,313993.4155333333,309597.459025,315711.3646916667,337197.34244166664,348350.36765000003,365126.9279083333,389933.6779416667,416230.37491666665,432767.87043333333,467211.3662666667,482019.0809666667,474170.9643
10512,183796.10261666667,206258.45539166668,238354.078625,276542.62405833334,312993.59548333334,350918.9122,371853.60635,365020.2732,348508.37584166665,319435.74765000003,313249.3875416667,290560.933825,262445.951,258891.05619166666,261604.83533333332,265028.86679166666,270585.46941666666,285442.17408333335,305492.9855,317459.4061,331777.79956666665,374110.54301666666,412765.3505,419605.91324
10514,497842.433025,569223.7970333333,639298.7157166667,718833.945975,788411.030475,870702.830875,938994.7470583334,922514.0705666667,903009.5568583333,819727.8476916667,792505.5433333333,776828.9421833333,762631.9513083333,786575.5312333333,826351.8726416667,847264.9189,864795.4512166667,876850.8925,905425.0245416667,890848.9318166666,881842.4706583333,1033611.6404833334,1161455.5053333333,1201036.847
10516,264951.552825,301023.215275,343063.05532499996,375007.8610583333,445427.2208333333,491700.3432666667,517300.07488333335,500976.13957500004,484864.10374166665,449234.3014583333,447210.57728333335,419339.1739666667,386651.2134416667,397937.30658333335,414238.0664,432141.4428,459311.9433333333,472358.437075,489896.0168583333,502202.39029166667,511681.0351833333,578167.6359416667,631742.5319749999,642811.19984
10520,295153.091525,329528.02043333335,374673.70045833336,422312.976275,456376.8341583333,514303.76275833335,567120.6077833333,544977.51235,539760.837175,504383.9210166667,480489.66355,473437.78680833336,434407.31475,441422.0328,493542.889125,515352.21866666665,523643.1969916667,545914.5601916667,558768.9818916667,569747.1946583333,579241.8327833334,628085.4733166667,673265.7558416666,667600.8524399999
10522,340885.211225,380233.39650833333,438204.52235,496714.709725,536158.42475,600562.9821666667,646210.9444916666,621692.1889083333,601501.1432333334,567767.7747833333,573408.3961333333,554366.0117166666,543049.6200666667,561531.2996833334,608739.7418416666,648306.6305333333,679896.433925,726245.3687166667,735880.91705,742513.9454333333,747497.8341916667,809031.9303333333,849625.81775,837657.59276
10523,251371.04350833333,296504.96200833336,343125.1400083333,380698.4113916667,432917.24673333333,489880.9061833333,526998.749525,519523.8817916667,500430.37666666665,459968.17079166666,433413.4793416667,393316.544925,365650.34773333336,360977.77439166664,381746.63289166667,400446.6609416667,416610.92775833333,435931.40698333335,447975.1784916667,462640.80079166667,476920.0408,524982.4838333334,551051.2459416667,557575.91206
10524,306326.0615666667,338235.6763,379978.21510833333,432844.7711333333,494386.32893333334,559386.9386416667,583557.3898916667,569490.72545,546309.5407416667,504183.838325,496493.7624333333,462228.577425,421053.6002583333,421819.243575,440153.9571416667,442704.62003333337,453887.82738333335,471975.78404166666,488312.5259416667,494140.7885833333,508606.303325,584711.3983583334,647184.8075083334,654526.13486
10526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523881.7115833333,554870.8372166667,601793.5826333333,572874.4094666666,576777.9017416667,562986.1628416666,575733.2572166667,565888.9106583333,549025.9149916667,580871.6155166667,631677.5804083333,635964.8836599999
10527,362972.47325833334,418478.43779166666,463729.5008833333,512854.48439166666,560829.3585333333,637040.8609416666,701266.0427083333,688463.1568,687745.974225,660975.1119,625853.1123666667,604442.6762999999,601142.9185,609498.3062083333,630305.866375,639795.9085916667,645842.7948500001,653134.5989333333,681150.40145,681373.8524833333,666083.7938,715179.5118249999,784710.77555,774211.4108000001
