zipcode,agi11,agi12,agi13,agi14,agi15,agi16,agi17,agi18,agi19,agi20
13152,54609.29964982491,61249.4325,63046.563909774435,71768.89698492462,150209.25552825554,97323.07178217822,96859.35436893204,99031.74029126213,103712.87259615384,108499.09156626507
13155,3044.3800929825866,2251.9666666666667,2645.548387096774,2163.964285714286,2518.7241379310344,2346.0714285714284,2430.464285714286,2420.962962962963,2292.5384615384614,2485.423076923077
13156,6178.111452949389,6358.282051282052,6853.851851851852,7232.556962025316,7731.8625,7914.172839506173,8344.67901234568,9061.860465116279,9965.149425287356,8587.666666666666
13158,4804.939400458188,4845.567164179104,4710.787878787879,4865.692307692308,5031.424242424242,5039.363636363636,5275.923076923077,5319.274193548387,5820.111111111111,6176.2
13159,23074.809523809523,23364.82470119522,24038.436,25072.35714285714,26989.042635658916,26583.934362934364,28225.166666666668,29639.571428571428,30788.59541984733,31869.00760456274
13160,8331.314875952328,7560.741935483871,8350.747368421053,7421.215053763441,8741.347368421053,9068.734042553191,8397.031578947368,9010,9062.050505050505,9045.191489361701
13164,12578.510436614633,12130.333333333334,12680.894308943089,13592.632,13969.603174603175,14166.6328125,14687.8046875,16358.087301587302,16978.176923076924,17985.42748091603
13165,37452.60007810975,37474.58171206226,37576.3536345776,37585.15445544555,38187.06889763779,38051.30278884462,39071.30099009901,40374.78698224852,41418.619801980196,43283.00988142293
13166,20870.10605081209,20881.472324723247,21337.927272727273,21252.48872180451,21385.42084942085,21625.25680933852,22047.976744186046,23190.907692307694,23630.31923076923,25008.276119402984
13167,13168.091509541999,13460.767295597485,13597.585987261147,12933.3125,13147.37106918239,14775.208588957055,14171.006134969326,15019.049689440993,15680.092592592593,16531.451807228917
13202,11482.824530516433,12142.387283236994,12144.594444444445,12570.872222222222,12130.340782122905,13016.897849462366,13986.737373737375,15500.833333333334,15765.36,18166.629032258064
13203,45558.706298099576,44716.1296,44949.31578947369,46912.549689440995,46705.26100628931,45156.106451612904,47933.109034267916,49174.9921875,50032.33384379785,52257.87764350453
13204,59005.24841972187,58120.6475826972,58564.22813688213,59390.19649561952,59643.141781681305,57531.683181225555,60650.002518891684,61639.50126262626,63170.78223844282,66891.92738095239
13205,53787.528948404884,54162.90067114094,53393.85772357724,53338.36388508892,53467.33514246947,52692.62359550562,52983.192686357244,53804.84582743989,56630.1282051282,59698.38177014531
13206,64734.11799832796,63531.21540312876,63504.177322074785,65711.1560283688,65800.49172576833,64629.85225885226,67490.94736842105,69525.78846153847,71707.58264947245,72123.02328288708
13207,44017.70091027308,44266.574433656955,43834.18573797678,43651.30743801653,44005.97185430463,44250.60336134454,44984.44983277592,45742.7537437604,48019.3184,49935.857142857145
13208,68190.68851209145,67820.92214912281,68633.2640086207,70217.32452431289,71956.04021164021,69781.77401746725,72627.66737739873,73999.50053248137,76641.25232678387,81055.34044715448
13209,51396.419703298285,51235.32942898975,51639.322108345536,52313.880116959066,52790.29793510325,53339.9293078056,55317.75620437956,56940.507309941524,59158.30924855491,60907.0505050505
13210,44470.72249443207,41845.791530944625,40848.942052980135,42489.88888888889,43529.74244833068,42477.8352180937,43749.928802589,46027.589540412046,47318.6765163297,49427.24617737003
13211,27022.17464590736,26768.051359516616,26451.807926829268,26286.42987804878,26937.98489425982,27394.343653250773,28310.018237082066,28160.01851851852,28934.26524390244,30798.36011904762
13212,82270.9176339493,82212.25188679245,83519.09219190969,84470.84045584046,86436.71763602251,88104.67264150943,90551.45352112676,93491.28264925373,95824.77828886845,99244.7264409881
13214,34091.91881240147,35046.299212598424,35732.45910290237,37059.259162303664,37756.25925925926,37527.880319148935,39748.666666666664,41137.93650793651,41719.60949868074,41967.057441253266
13215,79893.1223796034,82198.27877947295,81558.4909090909,86712.22175732217,92520.95251396648,92290.12867132867,97551.77961432507,102939.23651452283,107233.52949245542,107214.51686909582
13219,66686.36189784556,68152.67484662577,69386.87057387058,71905.30097087378,74628.50361445783,75416.01097560975,78402.69044740024,83028.4375,84995.42148760331,86942.51773049646
13224,33867.39628482972,34392.75476190476,35142.76722090261,36333.93062200957,37369.002358490565,37209.09026128266,38639.2553699284,42534.18357487923,41211.413711583926,42105.33726415094
13302,4872.752588435757,4722.90625,4656.603174603175,4659.276923076923,4800.940298507463,4809.194029850746,4958.424242424242,5117.298507462687,5510.220588235294,6208.506849315068
13303,5050.572616280723,5255.963636363636,5425.333333333333,5484.7037037037035,5642.527272727273,5785.517857142857,6250.80701754386,6038.2,6729.763636363637,6943.482142857143
13304,8168.814773980154,8484.95652173913,8789.922222222222,9229.191011235955,9328.824175824177,9948.648936170213,10127.977777777778,11932.673913043478,11667.79347826087,11542.684210526315
13308,11684.296041467976,11770.09090909091,12081.552631578947,12170.078947368422,12396.947712418301,12787.592356687897,13387.051612903226,13415.37908496732,14188.01282051282,13781.949685534591
13309,20643.885585096476,20037.866171003716,20048.947368421053,20405.516981132074,20194.758490566037,20618.75572519084,20987.844696969696,21768.849056603773,23146.32958801498,24550.82156133829
