"","zip_code","nyc_flag","year","avg_zhvi","housing_units","agi","total_pop","avg_zhvi_pct","agi_pct","percentile_diff","inner_third_flag","gap_25_pct","bottom_income_quartile","gap_years","first_gap","gentrification_signal"
"5523","10588",0,"2011",322837.374708333,1952,236936.904597701,5245,0.460221759302725,0.677533971347869,-0.217312212045144,1,0,0,0,0,0
"5524","10588",0,"2012",304360.670458333,1958,263091.444287729,5468,0.416110140688786,0.735179351746584,-0.319069211057799,1,0,0,0,0,0
"5525","10588",0,"2013",309570.4862,2002,267219.537820958,5441,0.395012538670965,0.731245699822676,-0.33623316115171,1,0,0,0,0,0
"5526","10588",0,"2014",337326.208541667,2031,273716.053435115,5425,0.413288523199279,0.708235897842525,-0.294947374643246,1,0,0,0,0,0
"5527","10588",0,"2015",359364.077775,2004,299585.973720609,5486,0.418013820512714,0.747907468570523,-0.32989364805781,1,0,0,0,0,0
"5528","10588",0,"2016",382633.271991667,2017,329682.276098901,5438,0.420426513708223,0.792029772774555,-0.371603259066332,1,0,0,0,0,0
"5529","10588",0,"2017",404665.692833333,2011,370923.972165648,5424,0.417025183483213,0.820875169853836,-0.403849986370623,1,0,0,0,0,0
"5530","10588",0,"2018",428465.119691667,2028,339545.049113233,5486,0.387853007923601,0.741356909937351,-0.35350390201375,1,0,0,0,0,0
"5531","10588",0,"2019",430543.835916667,2025,342564.543918919,5297,0.342920015928795,0.729324699531861,-0.386404683603065,1,0,0,0,0,0
"5532","10588",0,"2020",435208.502316667,1656,344787.715436242,4331,0.328954584980181,0.736389757424198,-0.407435172444017,1,0,0,0,0,0
"5533","10588",0,"2021",476334.875783333,1666,NA,NA,0.331439226752043,NA,NA,1,NA,NA,NA,NA,NA
"5534","10589",0,"2011",394631.586916667,3657,82640.8250709397,6904,0.640780732837096,0.137446725277007,0.503334007560089,1,1,1,1,NA,NA
"5535","10589",0,"2012",381603.818716667,3685,90588.2546063652,6871,0.623048941585317,0.15499391782229,0.468055023763026,1,1,1,2,0,0
"5536","10589",0,"2013",397784.440091667,3740,92862.2628099174,7417,0.623384212570413,0.159985019916095,0.463399192654319,1,1,1,3,0,0
"5537","10589",0,"2014",423558.48625,3715,121880.390365449,7426,0.622307281905606,0.230762611627501,0.391544670278105,1,1,1,4,0,0
"5538","10589",0,"2015",437421.875358333,3629,136917.450819672,7283,0.605391019020711,0.267882829503523,0.337508189517187,1,1,0,5,0,0
"5539","10589",0,"2016",455232.756558333,3670,121723.960330579,7433,0.593995433118273,0.214084864345613,0.37991056877266,1,1,1,6,0,0
"5540","10589",0,"2017",471186.041891667,3711,160411.462418301,7532,0.566627189146324,0.308114798901418,0.258512390244906,1,1,0,7,0,0
"5541","10589",0,"2018",474865.640566667,3709,153204.631493506,7117,0.497065605745341,0.261331028712684,0.235734577032656,1,0,0,7,0,0
"5542","10589",0,"2019",475798.5515,3868,144699.689655172,7233,0.43769803659836,0.229027146390739,0.208670890207621,1,0,1,7,0,0
"5543","10589",0,"2020",489619.497033333,3759,170172.667213115,6700,0.424126576947128,0.2978701434547,0.126256433492427,1,0,0,7,0,0
"5544","10589",0,"2021",522972.211233333,3631,NA,NA,0.415479411009547,NA,NA,1,NA,NA,NA,NA,NA
"5545","10590",0,"2011",NA,1475,97039.0548742465,3833,NA,0.190414546649618,NA,1,NA,1,NA,NA,NA
"5546","10590",0,"2012",468253.711783333,1475,98208.9135802469,3767,0.782298725587686,0.186434127877899,0.595864597709787,1,1,1,NA,NA,NA
"5547","10590",0,"2013",497380.415575,1485,102892.449101796,3617,0.787045858518308,0.195799134226509,0.5912467242918,1,1,1,NA,NA,NA
"5548","10590",0,"2014",555815.488525,1503,105771.385699899,3518,0.790644821850749,0.195160161173584,0.595484660677165,1,1,1,NA,NA,NA
"5549","10590",0,"2015",566659.500216667,1533,113937.143700787,3543,0.763976649763738,0.202753386405103,0.561223263358636,1,1,1,NA,NA,NA
"5550","10590",0,"2016",596867.967425,1544,111434.364092277,3574,0.748853822044357,0.195986504054424,0.552867317989933,1,1,1,NA,NA,NA
"5551","10590",0,"2017",594470.366083333,1595,119532.194974874,3595,0.70392924571414,0.196847214443545,0.507082031270596,1,1,1,NA,NA,NA
"5552","10590",0,"2018",614411.584183333,1582,127169.647410359,3706,0.689178599526075,0.198387905575474,0.490790693950601,1,1,1,NA,NA,NA
"5553","10590",0,"2019",593968.182383333,1596,126810.346192893,3685,0.641857137258454,0.186240056682611,0.455617080575843,1,1,1,NA,NA,NA
"5554","10590",0,"2020",567963.188116667,1494,126887.225198413,3772,0.587896115539172,0.18277246189324,0.405123653645932,1,1,1,NA,NA,NA
"5555","10590",0,"2021",622291.3102,1429,NA,NA,0.623200515727312,NA,NA,1,NA,NA,NA,NA,NA
"5556","10591",0,"2011",481112.42615,5394,76196.4922222222,12539,0.796596285857193,0.119557323057608,0.677038962799586,1,1,1,1,NA,NA
"5557","10591",0,"2012",485073.739108333,5398,81613.2695810565,12639,0.79793911743766,0.12971687156336,0.6682222458743,1,1,1,2,0,0
"5558","10591",0,"2013",495918.523675,5420,84865.6960431655,13251,0.786527945477595,0.135869141128187,0.650658804349408,1,1,1,3,0,0
"5559","10591",0,"2014",530957.318325,5573,91672.8540925267,13938,0.77234408198182,0.142479803153759,0.62986427882806,1,1,1,4,0,0
"5560","10591",0,"2015",541742.052016667,5610,99254.2557726465,14381,0.747144017954569,0.157823930400502,0.589320087554067,1,1,1,5,0,0
"5561","10591",0,"2016",570806.543441667,5780,93476.4625,14556,0.722389503185198,0.140567512060297,0.581821991124901,1,1,1,6,0,0
"5562","10591",0,"2017",612819.286425,5866,113726.465968586,14962,0.722272908374194,0.178695986944828,0.543576921429366,1,1,1,7,0,0
"5563","10591",0,"2018",628720.857033333,5777,121639.610434783,14601,0.709656647869447,0.18595221119098,0.523704436678467,1,1,1,8,0,0
"5564","10591",0,"2019",629177.158466667,6096,115334.734622144,15209,0.688834460448751,0.162926917939511,0.52590754250924,1,1,1,9,0,0
"5565","10591",0,"2020",648357.577683333,11526,129020.154103853,27438,0.684364200168135,0.190450928478271,0.493913271689864,1,1,1,10,0,0
"5566","10591",0,"2021",705439.653191667,11728,NA,NA,0.704786657169967,NA,NA,1,NA,NA,NA,NA,NA
"5567","10594",0,"2011",518412.22255,1543,212265.660893072,4887,0.828316326492168,0.575827014909133,0.252489311583036,1,1,0,1,NA,0
"5568","10594",0,"2012",502937.329391667,1584,264944.586037365,4954,0.817577437272801,0.740245780367764,0.0773316569050363,1,0,0,1,0,0
"5569","10594",0,"2013",508114.21915,1580,232993.691848907,4975,0.790618145902817,0.624268371834375,0.166349774068442,1,0,0,1,0,0
"5570","10594",0,"2014",556919.671783333,1582,257622.787610619,4984,0.791146315281312,0.660514484170671,0.130631831110641,1,0,0,1,0,0
"5571","10594",0,"2015",576944.091775,1618,276305.230544747,5065,0.77182112117129,0.668618481646829,0.103202639524461,1,0,0,1,0,0
"5572","10594",0,"2016",583243.997483333,1609,277018.513861386,5088,0.734246145059117,0.672574707713178,0.0616714373459388,1,0,0,1,0,0
"5573","10594",0,"2017",586945.715116667,1632,329236.854616896,5026,0.702351451286919,0.763278610909098,-0.0609271596221787,1,0,0,1,0,0
"5574","10594",0,"2018",607315.812891667,1665,339431.57884427,5114,0.686067124673878,0.739935284618972,-0.0538681599450936,1,0,0,1,0,0
"5575","10594",0,"2019",610284.954275,1677,357024.447600392,5105,0.664645868325579,0.751814527598685,-0.0871686592731068,1,0,0,1,0,0
"5576","10594",0,"2020",616220.146416667,1562,319722.83497053,4669,0.665225539208979,0.669033101890303,-0.00380756268132343,1,0,0,1,0,0
"5577","10594",0,"2021",665110.96285,1570,NA,NA,0.661597899662185,NA,NA,1,NA,NA,NA,NA,NA
"5578","10595",0,"2011",470485.115133333,3184,72123.2508027114,9515,0.781148696068501,0.114587020488397,0.666561675580104,1,1,1,1,NA,NA
"5579","10595",0,"2012",459636.292441667,3256,72024.7308641975,9336,0.767920291728632,0.107280466867304,0.660639824861328,1,1,1,2,0,0
"5580","10595",0,"2013",454836.699041667,3273,74379.7079754601,9484,0.722500767681386,0.108571822002181,0.613928945679205,1,1,1,3,0,0
"5581","10595",0,"2014",491283.02965,3266,83216.4976303318,9518,0.718208101332582,0.11912891432261,0.599079187009972,1,1,1,4,0,0
"5582","10595",0,"2015",498463.76045,3338,85403.861575179,9851,0.68421616817033,0.114519626190155,0.569696541980175,1,1,1,5,0,0
"5583","10595",0,"2016",510365.121783333,3345,84990.7814009662,10008,0.675242050972082,0.114885977635307,0.560356073336775,1,1,1,6,0,0
"5584","10595",0,"2017",529337.901833333,3379,92451.2326968974,10016,0.661664586800803,0.117899314408156,0.543765272392647,1,1,1,7,0,0
"5585","10595",0,"2018",552417.8002,3459,99601.9352179034,10494,0.624608882533737,0.127811968250769,0.496796914282968,1,1,1,8,0,0
"5586","10595",0,"2019",575556.040975,3487,110207.141509434,10465,0.619467653551342,0.149959466245026,0.469508187306316,1,1,1,9,0,0
"5587","10595",0,"2020",593729.715575,3472,101703.859201774,10251,0.636527219622357,0.118524117776258,0.518003101846098,1,1,1,10,0,0
"5588","10595",0,"2021",644371.1783,3469,NA,NA,0.639333388147856,NA,NA,1,NA,NA,NA,NA,NA
"5589","10596",0,"2011",NA,1224,44240.9482849604,2944,NA,0.0534190163762465,NA,1,NA,1,NA,NA,NA
"5590","10596",0,"2012",NA,1290,47409.1205128205,3002,NA,0.055418369820919,NA,1,NA,1,NA,NA,NA
"5591","10596",0,"2013",NA,1316,47265.8121827411,3084,NA,0.054200375470817,NA,1,NA,1,NA,NA,NA
"5592","10596",0,"2014",NA,1362,52713.2258064516,3318,NA,0.0595093971117796,NA,1,NA,1,NA,NA,NA
"5593","10596",0,"2015",NA,1390,57416.5888324873,3265,NA,0.0602534010712128,NA,1,NA,1,NA,NA,NA
"5594","10596",0,"2016",NA,1389,59767.9379652605,3425,NA,0.064030045479031,NA,1,NA,1,NA,NA,NA
"5595","10596",0,"2017",308986.817818182,1358,62502.0024630542,3350,0.225698401604105,0.0594410055718559,0.166257396032249,1,0,1,NA,NA,NA
"5596","10596",0,"2018",328071.503783333,1342,67590.4187192118,3289,0.20448195929696,0.0646663675603225,0.139815591736637,1,0,1,NA,NA,NA
"5597","10596",0,"2019",348716.95035,1352,69881.1965601966,3289,0.182655887379365,0.0660106921663185,0.116645195213047,1,0,1,NA,NA,NA
"5598","10596",0,"2020",364189.658658333,1278,67635.4621026895,3341,0.170489670397465,0.0586402435728415,0.111849426824624,1,0,1,NA,NA,NA
"5599","10596",0,"2021",385029.725525,1248,NA,NA,0.148154637989592,NA,NA,1,NA,NA,NA,NA,NA
"5600","10597",0,"2011",NA,2130,197600.584656866,5536,NA,0.523213731822072,NA,1,NA,0,NA,NA,0
"5601","10597",0,"2012",NA,2176,200777.877426312,5707,NA,0.528860882404554,NA,1,NA,0,NA,NA,0
"5602","10597",0,"2013",NA,2236,203114.689936215,6111,NA,0.515972278227341,NA,1,NA,0,NA,NA,0
"5603","10597",0,"2014",NA,2279,207388.488136776,6113,NA,0.507138838524111,NA,1,NA,0,NA,NA,0
"5604","10597",0,"2015",NA,2305,211402.280653005,6096,NA,0.491666011580357,NA,1,NA,0,NA,NA,0
"5605","10597",0,"2016",NA,2311,214334.413829048,6126,NA,0.50292033722893,NA,1,NA,0,NA,NA,0
"5606","10597",0,"2017",NA,2360,224108.502384196,6035,NA,0.499280123920159,NA,1,NA,0,NA,NA,0
"5607","10597",0,"2018",1039159.28733333,2341,235184.676608579,5699,0.92581420966048,0.505765873178362,0.420048336482118,1,1,0,NA,NA,0
"5608","10597",0,"2019",981933.611858333,2335,244668.177477774,5684,0.877990740690454,0.506923943465961,0.371066797224493,1,1,0,NA,NA,0
"5609","10597",0,"2020",933055.744375,2474,246506.984701383,5528,0.860118646544228,0.507876915246158,0.35224173129807,1,1,0,NA,NA,0
"5610","10597",0,"2021",1044944.40960833,2291,NA,NA,0.886339102814053,NA,NA,1,NA,NA,NA,NA,NA
