zip_code,nyc_flag,year,avg_zhvi,housing_units,agi,total_pop,avg_zhvi_pct,agi_pct,percentile_diff,inner_third_flag,gap_25_pct,bottom_income_quartile,gap_years,first_gap,gentrification_signal,avg_rent,gross_rent_per_unit,evictions,eviction_filings,violations_a,violations_b,violations_c,total_violations,dob_calls_311,permits_alteration,permits_demolition,nypd_calls_311,arrests
10003,1,2014,833059.116691667,24269,1785818.93062438,42888,0.937807199256622,0.975483779158964,-0.0376765799023424,1,0,0,0,0,0,3357.8084831434035,1850.618154847748,NA,NA,218,717,270,1205,760,34,NA,3624,3278
10003,1,2015,960216.909441667,24400,2251934.46732673,42950,0.948119814923961,0.976054816057632,-0.0279350011336712,1,0,0,0,0,0,3521.5121831807764,2139.2654098360654,NA,NA,508,955,478,1941,1020,17,3,4591,3299
10003,1,2016,1104504.02883333,24308,1880178.21022727,42122,0.958778974276224,0.981087564178453,-0.0223085899022284,1,0,0,0,0,0,3580.3232320225407,2220.415130821129,NA,NA,476,963,350,1789,858,21,1,5003,2765
10003,1,2017,1164180.58616667,24054,2282869.88671746,41677,0.97582152236716,0.975989424712142,-1.6790234498209e-4,1,0,0,0,0,0,3612.834071117134,2307.9184335245695,0,55,692,1066,448,2206,875,15,6,4766,2557
10003,1,2018,1265491.62208333,23947,2475092.71978927,41805,0.972662086594549,0.976396508480944,-0.00373442188639439,1,0,0,0,0,0,3660.143968284188,2385.7676953271807,0,48,765,1180,415,2360,905,26,9,4278,2230
10003,1,2019,1242993.91525,23972,2153607.6944346,41408,0.966042764382849,0.976117114283444,-0.0100743499005946,1,0,0,0,0,0,3758.070980965292,2453.3690138494912,0,45,533,1030,500,2063,985,11,2,5837,1804
10003,1,2020,1268864.25616667,27841,2266890.62096482,51239,0.965183266767348,0.976222395508518,-0.01103912874117,1,0,0,0,0,0,3535.738525593227,NA,0,12,347,628,414,1389,667,6,NA,7093,1168
10003,1,2021,1370870.7055,28652,NA,50973,0.960446214594821,NA,NA,1,NA,NA,NA,NA,NA,3572.712555157544,2491.4523244450647,0,1,1346,982,759,3087,770,18,1,8537,1304
10004,1,2011,858157.775566667,3025,380080.404965559,5102,0.972816280754463,0.911559554041421,0.0612567267130422,1,0,0,0,0,0,NA,NA,NA,NA,NA,5,NA,NA,51,3,NA,181,615
10004,1,2012,886619.991283333,3201,421666.531733746,5534,0.981012339695655,0.917558226126668,0.0634541135689872,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,90,1,NA,149,642
10004,1,2013,978642.047266667,3460,464132.430359937,5581,0.985121982209593,0.921983989270157,0.0631379929394364,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,65,3,NA,232,428
10004,1,2014,1132789.41683333,3750,600473.701795472,6006,0.985996783334381,0.929876506193983,0.0561202771403985,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,61,1,NA,289,311
10004,1,2015,1240083.23775,3989,624041.094867807,6502,0.987225963088486,0.92561500871167,0.0616109543768162,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,67,1,NA,465,385
10004,1,2016,1329251.6625,4074,634739.445068164,6777,0.987936529021303,0.929050283252756,0.0588862457685476,1,0,0,0,0,0,NA,NA,NA,NA,NA,3,1,NA,69,1,NA,595,433
10004,1,2017,1410088.64216667,4284,747478.092503987,6892,0.988334141321044,0.925610870088171,0.0627232712328728,1,0,0,0,0,0,3181.7628540387936,NA,0,8,22,2,6,30,87,NA,NA,745,430
10004,1,2018,1387331.7635,4312,794550.34294622,6993,0.987396621924155,0.929187384219974,0.0582092377041814,1,0,0,0,0,0,3176.5846774685074,NA,0,6,1,1,1,3,108,2,NA,729,223
10004,1,2019,1201778.48133333,4395,726810.165820643,7398,0.946778125178432,0.922887543131394,0.0238905820470375,1,0,0,0,0,0,3307.5894443652323,NA,0,8,12,NA,4,NA,109,2,NA,1276,158
10004,1,2020,1162350.4915,4304,707659.461116194,8021,0.940831026166744,0.920046302785502,0.020784723381242,1,0,0,0,0,0,3051.4241517083137,NA,0,1,NA,3,1,NA,73,NA,10,913,49
10004,1,2021,1115880.35433333,4344,NA,7749,0.910545410385065,NA,NA,1,NA,NA,NA,NA,NA,3124.3428043816516,NA,NA,NA,23,3,2,28,52,2,NA,647,72
10005,1,2011,867420.583566667,2726,773625.698870611,4348,0.973249621025058,0.959635204193181,0.0136144168318766,1,0,0,0,0,0,NA,2001,NA,NA,NA,5,NA,NA,45,NA,NA,283,211
10005,1,2012,894439.222183333,3010,1164178.70860495,4581,0.98177665056218,0.970224773013248,0.0115518775489322,1,0,0,0,0,0,3097.9162142812543,2001,NA,NA,1,5,9,15,92,NA,NA,266,222
10005,1,2013,952820.784416667,3157,1027581.50132802,4933,0.984625670755517,0.965301160840613,0.019324509914904,1,0,0,0,0,0,3157.7889758574547,2001,NA,NA,3,4,3,10,68,1,NA,300,103
10005,1,2014,1052111.38685833,3329,1452446.54757152,5369,0.983504098926728,0.971781112512121,0.0117229864146068,1,0,0,0,0,0,3296.8894022005115,2001,NA,NA,3,NA,NA,NA,63,NA,NA,399,124
10005,1,2015,1112436.78208333,3333,1623978.17296223,5543,0.980184152327783,0.972710326702295,0.00747382562548737,1,0,0,0,0,0,3417.472213362229,2961.9826719675943,NA,NA,5,3,2,10,58,2,NA,624,110
10005,1,2016,1163658.4795,3335,1528903.73360107,5756,0.977338543287162,0.977025437885264,3.1310540189799e-4,1,0,0,0,0,0,3432.2510997184672,3017.0377839418247,NA,NA,2,7,NA,NA,94,2,2,819,70
10005,1,2017,1198851.94425,3380,1854502.80581242,5838,0.978392934628125,0.970220866874532,0.00817206775359347,1,0,0,0,0,0,3405.728033159552,3127.2849112426034,0,16,18,2,3,23,112,2,NA,763,86
10005,1,2018,1264185.03925,3486,2090799.67880364,5776,0.970640508553664,0.974279425711124,-0.00363891715746001,1,0,0,0,0,0,3520.403395413809,3232.3516207687894,0,14,13,7,3,23,93,2,NA,740,72
10005,1,2019,1182559.9185,3633,1870621.37569444,5765,0.946188941758177,0.973165649238269,-0.0269767074800918,1,0,0,0,0,0,3623.551879134311,3274.073011285439,0,18,6,6,1,13,114,2,NA,1193,93
10005,1,2020,1082893.15308333,3685,2244168.8687231,5751,0.920400141286416,0.974133769389531,-0.0537336281031157,1,0,0,0,0,0,3448.3273334973474,3415.241978156163,0,4,7,NA,1,NA,49,NA,NA,1268,43
10005,1,2021,1049258.21566667,3839,NA,5884,0.88712689343401,NA,NA,1,NA,NA,NA,NA,NA,3489.662199516756,3479.6766525561707,NA,NA,58,7,5,70,49,1,NA,644,62
10006,1,2011,795976.485116667,3593,786500.483655084,4315,0.966930207275445,0.961450931017117,0.005479276258328,1,0,0,0,0,0,NA,2001,NA,NA,4,9,1,14,52,NA,NA,205,344
10006,1,2012,832691.562191667,3857,953471.973395931,4632,0.975728191074862,0.961437737722865,0.0142904533519972,1,0,0,0,0,0,NA,2001,NA,NA,1,1,NA,NA,55,1,NA,85,371
10006,1,2013,881460.011633333,3967,1013735.35672823,4916,0.978237601551834,0.963486506068075,0.0147510954837586,1,0,0,0,0,0,3050.2166647988524,2001,NA,NA,NA,1,NA,NA,61,2,1,104,143
10006,1,2014,961315.078366667,4166,1324582.93802521,5563,0.968667374347039,0.963464906349832,0.00520246799720703,1,0,0,0,0,0,3104.7440563048776,2001,NA,NA,NA,NA,2,NA,107,1,NA,149,206
10006,1,2015,1054945.71575,4250,1532913.67451596,6000,0.971920584047919,0.967996462533952,0.00392412151396659,1,0,0,0,0,0,3294.906618613829,2994.3571764705885,NA,NA,2,NA,1,NA,130,1,NA,216,93
10006,1,2016,1070323.43116667,4291,1343254.9908896,6270,0.952592897024959,0.971500216963916,-0.0189073199389563,1,0,0,0,0,0,3274.209848147548,3020.021207177814,NA,NA,14,9,24,47,105,3,NA,392,127
10006,1,2017,1086588.45766667,4259,1458976.30074786,6541,0.952764072222566,0.959882886767516,-0.00711881454495011,1,0,0,0,0,0,3256.456507742498,3142.067151913595,0,9,12,40,26,78,108,1,NA,297,61
10006,1,2018,1062306.40775,4346,1852360.63312369,6370,0.932164571912998,0.968791940836077,-0.0366273689230786,1,0,0,0,0,0,3311.09226397935,3295.23838011965,0,8,32,12,10,54,128,NA,NA,393,80
10006,1,2019,1078546.953,4405,1642148.69362187,6251,0.92458496255368,0.96217069923754,-0.03758573668386,1,0,0,0,0,0,3424.6911457975184,3309.159364358683,0,7,7,6,9,22,86,NA,1,564,152
10006,1,2020,1006354.52614167,4314,1599184.26273148,6576,0.879867665850663,0.965156399125052,-0.0852887332743886,1,0,0,0,0,0,3181.8849336368553,3400.203059805285,0,2,12,15,4,31,69,NA,NA,441,53
10006,1,2021,960590.204666667,4183,NA,6750,0.860247936510659,NA,NA,1,NA,NA,NA,NA,NA,3168.0354383273334,3422.726033946928,NA,NA,37,32,4,73,37,2,NA,364,39
10007,1,2011,NA,2464,1016471.59924591,4617,NA,0.971359026537532,NA,1,NA,0,NA,NA,0,NA,1727.8484329199553,NA,NA,12,19,5,36,121,NA,NA,271,2020
10007,1,2012,1370489.652,2584,1065678.50128949,4776,0.988345442371111,0.968316741997579,0.0200287003735315,1,0,0,NA,NA,0,NA,1741.049189491336,NA,NA,3,31,9,43,125,1,NA,258,1603
10007,1,2013,1453376.60108333,2719,1533160.17952858,5073,0.990634512104914,0.972806149596041,0.017828362508873,1,0,0,NA,NA,0,NA,1752.1927508989866,NA,NA,3,12,5,20,162,4,NA,316,1508
10007,1,2014,1736754.93183333,2834,1369383.42504685,5220,0.99096945989374,0.967359641564695,0.0236098183290456,1,0,0,NA,NA,0,NA,1794.8643296867035,NA,NA,2,4,2,8,204,4,NA,413,1440
10007,1,2015,2028113.43675,2889,1465626.84304656,5345,0.993226512547876,0.965700042825045,0.0275264697228312,1,0,0,NA,NA,0,NA,2604.656973613355,NA,NA,10,3,3,16,191,4,3,771,1350
10007,1,2016,2239413.36841667,2922,1312319.48841578,5472,0.993953888996365,0.968874734135081,0.0250791548612842,1,0,0,NA,NA,0,NA,2771.4752851711028,NA,NA,13,2,10,25,237,6,1,1274,1381
10007,1,2017,2443706.8605,2777,1655975.38141809,5257,0.994756164689882,0.96828116045812,0.0264750042317621,1,0,0,NA,NA,0,5685.843297009771,2722.4014881785815,0,9,6,18,3,27,301,6,NA,1532,1166
10007,1,2018,2268754.74583333,2796,1663405.51387645,5229,0.994509764561655,0.960282603872481,0.0342271606891744,1,0,0,NA,NA,0,5795.353118383471,2949.2802130111677,0,9,21,22,16,59,263,2,1,1192,1190
10007,1,2019,2405450.30841667,2879,1774105.25914149,5404,0.994974914202183,0.968660625332933,0.0263142888692497,1,0,0,NA,NA,0,5927.374688131824,2944.8579920484813,0,3,12,5,58,75,232,4,NA,1942,1133
10007,1,2020,2445444.95875,2661,1245303.77850051,5120,0.993299856688943,0.952581585977009,0.0407182707119346,1,0,0,NA,NA,0,5736.1987991674305,NA,0,1,9,1,8,18,130,2,NA,1389,663
10007,1,2021,2471307.48116667,2709,NA,5144,0.992977603895799,NA,NA,1,NA,NA,NA,NA,NA,5915.095044956473,NA,NA,NA,93,56,23,172,75,NA,NA,1035,497
10009,1,2011,254478.91405,31746,627226.626696242,62802,0.245015079879735,0.947523431735727,-0.702508351855992,1,0,0,0,0,0,NA,1282.5379575379577,NA,NA,242,699,76,1017,490,11,NA,2719,2306
10009,1,2012,280410.561416667,31619,1028913.67783505,62878,0.331189457002011,0.963463585707585,-0.632274128705574,1,0,0,0,0,0,2854.061647219161,1362.102596540055,NA,NA,195,644,321,1160,588,12,1,3204,2287
10009,1,2013,318082.827058333,31503,948755.433024431,63499,0.426424020844331,0.961275211289252,-0.534851190444921,1,0,0,0,0,0,2960.830822827583,1369.777894168809,NA,NA,224,846,380,1450,588,8,1,4047,2077
10009,1,2014,360502.890216667,31626,1142675.31094527,62456,0.489047031079751,0.962127565152278,-0.473080534072527,1,0,0,0,0,0,3037.2218102153815,1404.929203819642,NA,NA,193,759,281,1233,597,11,NA,4475,2036
10009,1,2015,414261.015433333,31763,1355238.79071661,61411,0.568758257534358,0.962698183162131,-0.393939925627773,1,0,0,0,0,0,3157.2349727914852,1424.275509240311,NA,NA,589,1187,404,2180,662,18,2,5059,1985
10009,1,2016,472893.279175,31910,1038381.1628692,60600,0.631488557387796,0.954143893745909,-0.322655336358113,1,0,0,0,0,0,3224.8941732457297,1466.4653400188029,NA,NA,657,1212,447,2316,690,7,NA,6068,1865
10009,1,2017,503673.049391667,31595,1642379.97283951,61060,0.630034899744944,0.966861899892352,-0.336827000147408,1,0,0,0,0,0,3262.0166511109414,1477.0576990030067,0,111,900,1506,601,3007,609,7,1,6095,1511
10009,1,2018,570580.278316667,31587,1185851.76302932,58683,0.650494189722516,0.94736073457202,-0.296866544849503,1,0,0,0,0,0,3303.8179012884107,1575.9296862633362,0,102,943,1655,665,3263,744,7,1,5770,1122
10009,1,2019,601279.232175,31742,1290490.94189072,58992,0.651499107784898,0.952559168586099,-0.301060060801201,1,0,0,0,0,0,3394.144292201911,1690.1334194442695,0,79,895,1447,732,3074,913,7,2,6763,924
10009,1,2020,690186.2238,31574,1312512.93837535,58964,0.718374687808734,0.957080412715115,-0.238705724906381,1,0,0,0,0,0,3232.127928292131,1785.3896877177424,0,10,473,1017,576,2066,667,8,2,11025,588
10009,1,2021,738334.616858333,32257,NA,60895,0.728941386965476,NA,NA,1,NA,NA,NA,NA,NA,3204.925764171375,1864.907461946244,0,2,1369,1205,720,3294,698,10,NA,11290,879
10010,1,2011,513134.851408333,15052,344692.589047854,26031,0.81971228798087,0.880623419591986,-0.0609111316111165,1,0,0,0,0,0,NA,1869.1528700504916,NA,NA,28,95,8,131,289,6,NA,918,1393
10010,1,2012,544861.159733333,15160,512354.28830313,26618,0.851305968775854,0.925182457857489,-0.073876489081635,1,0,0,0,0,0,3243.3455179967837,1954.9036279683376,NA,NA,38,108,18,164,343,7,1,798,1776
10010,1,2013,610416.087866667,15199,447872.024077047,27477,0.866335082311796,0.920494509174633,-0.054159426862837,1,0,0,0,0,0,3330.612676884821,1998.4114086453055,NA,NA,32,146,75,253,280,5,2,1041,2409
10010,1,2014,732304.4707,15242,525021.236421725,26751,0.888869966643258,0.920452520744349,-0.0315825541010912,1,0,0,0,0,0,3526.755893237677,2001,NA,NA,54,190,78,322,619,7,2,1400,2526
10010,1,2015,852776.752308333,15267,493932.004636785,27506,0.918967999651969,0.914302685071659,0.00466531458031039,1,0,0,0,0,0,3635.730836307828,2447.125106438724,NA,NA,86,149,82,317,434,10,5,1640,2598
10010,1,2016,911020.125725,15437,562961.995305164,28113,0.912873388196536,0.920667019934054,-0.00779363173751724,1,0,0,0,0,0,3698.0265476368336,2430.467772235538,NA,NA,114,235,84,433,473,11,3,1686,1997
10010,1,2017,951516.9003,15745,539815.576866764,28327,0.915189685837223,0.915030444819679,1.5924101754405e-4,1,0,0,0,0,0,3728.0570350509993,2411.9174976182917,0,31,327,230,117,674,592,7,NA,2025,1768
10010,1,2018,1184984.33525,15951,900591.220483641,28119,0.958239339865935,0.9317185736241,0.0265207662418345,1,0,0,0,0,0,3751.092059328655,2445.4968340542914,0,38,196,267,91,554,455,6,NA,1967,1422
10010,1,2019,1218203.9575,16308,567019.393650794,29714,0.962081702155892,0.908017467421367,0.054064234734525,1,0,0,0,0,0,3858.0465077663657,2371.840323767476,0,26,175,208,131,514,470,5,NA,2370,1339
10010,1,2020,1226802.92058333,16607,422347.70178282,29100,0.949423950936113,0.852764529134318,0.096659421801795,1,0,0,0,0,0,3599.167788954017,2184.5708436201603,0,9,203,282,172,657,386,5,NA,3218,965
10010,1,2021,1253482.32058333,16846,NA,28959,0.940702393460997,NA,NA,1,NA,NA,NA,NA,NA,3641.314395171169,2492.7788198978988,NA,NA,304,266,111,681,352,4,NA,2727,1001
10011,1,2011,690763.747966667,29884,952494.434493658,46650,0.952055356036013,0.969233480948853,-0.0171781249128394,1,0,0,0,0,0,NA,1737.8070874046311,NA,NA,170,421,60,651,714,27,4,1908,3033
10011,1,2012,739441.509975,30064,1202753.62301102,46359,0.963933616202218,0.971733882528021,-0.007800266325803,1,0,0,0,0,0,3411.5529536087433,1774.3061468866415,NA,NA,127,436,119,682,825,30,3,1954,3144
10011,1,2013,847120.882008333,30160,1048591.07892562,47758,0.974036467978573,0.966786064777838,0.00725040320073467,1,0,0,0,0,0,3535.0919025518333,1817.679807692308,NA,NA,206,767,299,1272,862,35,NA,2114,3839
