zip_code,year,gross_rent_per_unit
07079,2015,1897.6467323187107
07079,2016,1889.045792079208
07079,2017,1806.107486631016
07079,2018,NA
07079,2019,NA
07079,2020,NA
07079,2021,NA
07080,2011,1489.678674351585
07080,2012,NA
07080,2013,NA
07080,2014,1475.612897557547
07080,2015,1506.6268236948497
07080,2016,1553.335778175313
07080,2017,1689.8783783783783
07080,2018,1835.7475849731663
07080,2019,NA
07080,2020,NA
07080,2021,NA
07081,2011,1533.9460008709536
07081,2012,1613.8765466816649
07081,2013,1663.2138849929875
07081,2014,1603.220064724919
07081,2015,1574.3931302831074
07081,2016,1643.7590635451504
07081,2017,1569.6106995884775
07081,2018,1665.6304525627045
07081,2019,1812.5534281289597
07081,2020,1828.0219083309312
07081,2021,1883.1456454236286
07082,2011,2001
07082,2012,1719
07082,2013,1825
07082,2014,1819
07082,2015,2018
07082,2016,2228
07082,2017,NA
07082,2018,1750
07082,2019,1571
07082,2020,1938
07082,2021,1188
07083,2011,1510.6014834273353
07083,2012,1497.3314059646987
07083,2013,1542.4959608685986
07083,2014,1501.4663967611336
07083,2015,1468.5257159555815
07083,2016,1502.0647403072421
07083,2017,1584.9429407461594
07083,2018,NA
07083,2019,1635.1889489667433
07083,2020,NA
07083,2021,NA
07086,2011,1353.0313299232737
07086,2012,1398.9992443324936
07086,2013,1445.6855268045067
07086,2014,1446.872605247102
07086,2015,1791.6968368676696
07086,2016,1931.9594625370075
07086,2017,1952.4441170050206
07086,2018,2026.032978837684
07086,2019,2166.9364384703554
07086,2020,2272.5425479098403
07086,2021,2305.650370631839
07087,2011,1021.1389323207505
07087,2012,1047.04687099491
07087,2013,1075.1430433487265
07087,2014,1102.310377530549
07087,2015,1117.2331246154404
07087,2016,1137.2228189351638
07087,2017,1186.0803360743655
07087,2018,1224.9486728156023
07087,2019,1251.4076457626527
07087,2020,1269.8537648431602
07087,2021,1349.8069627851141
07088,2011,1289
07088,2012,1297
07088,2013,1292
07088,2014,1347
07088,2015,1383
07088,2016,1451
07088,2017,1526
07088,2018,1545
07088,2019,1601
07088,2020,1728
07088,2021,1600
07090,2011,1439.8459351904492
07090,2012,1491.020035577193
07090,2013,1448.1301491977104
07090,2014,1542.2153047989623
07090,2015,1388.2771704180063
07090,2016,1349.6540999909591
07090,2017,1380.7936862815238
07090,2018,1549.8498074454428
07090,2019,1422.5926299385828
07090,2020,1577.1621368322399
07090,2021,1731.2687607495247
07092,2011,1363
07092,2012,1394
07092,2013,1634
07092,2014,1739
07092,2015,2213
07092,2016,2642
07092,2017,1853
07092,2018,1858
07092,2019,1739
07092,2020,3432
07092,2021,2926
07093,2011,1229.2503584229391
07093,2012,1256.1568022189415
07093,2013,1273.1324835164835
07093,2014,1297.398770104068
07093,2015,1358.037944492628
07093,2016,1403.310515142325
07093,2017,1452.3993339388435
07093,2018,1498.6279444845295
07093,2019,1520.8916107667487
07093,2020,1570.7362680171407
07093,2021,1586.465587797619
07094,2011,1315.037654982397
07094,2012,1397.818962962963
07094,2013,1454.6882637112817
07094,2014,1489.9915827238858
07094,2015,1577.3144448974044
07094,2016,1583.8488989121784
07094,2017,1581.6851323300466
07094,2018,1587.580131088549
07094,2019,1615.838789991286
07094,2020,1743.5004926108375
07094,2021,1893.5091334894614
07095,2011,1122.1192093136067
07095,2012,1314.5322716853661
07095,2013,1334.6479847364656
07095,2014,1276.1417122040073
07095,2015,1369.5013747758517
07095,2016,1415.6299100804542
07095,2017,1454.4174734356552
07095,2018,1517.5286783042393
07095,2019,1492.2848520023215
07095,2020,1634.1842757643726
07095,2021,1650.9491310852802
07102,2011,805.4086553011198
07102,2012,832.7422794487476
07102,2013,874.1918329561819
07102,2014,812.3412857595271
07102,2015,804.7867999167187
07102,2016,784.7449691991786
07102,2017,813.676012145749
07102,2018,842.6076899969961
07102,2019,927.4069767441861
07102,2020,956.0457600589265
07102,2021,1037.1414717141643
07103,2011,890.0117151748124
07103,2012,882.0913479391014
07103,2013,921.9791973490427
07103,2014,933.8893030190086
07103,2015,950.1669313404951
07103,2016,944.4567650050865
07103,2017,1003.2164623151821
07103,2018,1045.2311287477953
07103,2019,1061.7917338538573
07103,2020,1057.1506342938756
07103,2021,1081.7962054301604
07104,2011,974.8962994606718
07104,2012,983.5779124934106
07104,2013,996.2807509254362
07104,2014,1015.4341056631657
07104,2015,978.6248123803116
07104,2016,1002.0307580022939
07104,2017,1020.2432333957943
07104,2018,1059.494095711622
07104,2019,1087.1386842773686
07104,2020,1150.530001583197
07104,2021,1186.0683644080643
07105,2011,NA
07105,2012,NA
07105,2013,NA
07105,2014,NA
07105,2015,NA
07105,2016,NA
07105,2017,NA
07105,2018,NA
07105,2019,NA
07105,2020,NA
07105,2021,NA
07106,2011,1020.9395855286266
07106,2012,1017.0375647668394
07106,2013,980.0652716680537
07106,2014,995.0820026413735
07106,2015,1008.211692823769
07106,2016,1000.7878246366453
07106,2017,NA
07106,2018,NA
07106,2019,1081.4399907589234
07106,2020,1082.8312514917654
07106,2021,NA
07107,2011,902.9350923099288
07107,2012,913.2259584493468
07107,2013,913.0759919782266
07107,2014,907.5912488208403
07107,2015,891.5683831472812
07107,2016,900.7370192652008
07107,2017,975.573921160336
07107,2018,1017.8485630330395
07107,2019,1010.4664782762275
07107,2020,1040.8994923857867
07107,2021,NA
07108,2011,864.821000324079
07108,2012,861.7417558418869
07108,2013,870.9490821678322
07108,2014,864.1683102493075
07108,2015,891.1827670441928
07108,2016,881.7826897762177
07108,2017,913.7597704882537
07108,2018,967.2405063291139
07108,2019,988.1489141675285
07108,2020,1016.5935690653432
07108,2021,1139.821799647128
07109,2011,1183.0150256197203
07109,2012,1171.6210407239819
07109,2013,1217.0644023890047
07109,2014,1207.8270220717861
07109,2015,1186.2246433947387
07109,2016,1227.295195498485
07109,2017,1267.9567671859368
07109,2018,1324.8913501343598
07109,2019,1367.7137452711222
07109,2020,1406.0501972032987
07109,2021,1445.0167212667213
07110,2011,1178.4279963096535
07110,2012,1206.3091077129893
07110,2013,1279.005493576741
07110,2014,1260.5178466448308
07110,2015,1295.6349790365364
07110,2016,1296.6100280997541
07110,2017,1306.4825725406936
07110,2018,1323.0866044710438
07110,2019,1370.5306407902788
07110,2020,1400.9148734721982
07110,2021,1480.7716483876247
07111,2011,949.4027198398131
07111,2012,946.5858055298764
07111,2013,962.0562186327021
07111,2014,972.8159394367955
07111,2015,974.1356535578171
07111,2016,971.3063968935213
07111,2017,974.0661255278153
07111,2018,1005.6969918699187
07111,2019,1019.3811723211287
07111,2020,1062.063503314848
07111,2021,1134.5633107839235
07112,2011,975.8362093553908
07112,2012,972.7015703017585
07112,2013,976.1628738147338
07112,2014,991.0771382305314
07112,2015,998.0497790868925
