ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,GEOID
"19096",8600000US19096,"19096","9074988","0","42045408900"
"19096",8600000US19096,"19096","9074988","0","42091204500"
"19096",8600000US19096,"19096","9074988","0","42091205200"
"19096",8600000US19096,"19096","9074988","0","42091205502"
"19096",8600000US19096,"19096","9074988","0","42091205503"
"19096",8600000US19096,"19096","9074988","0","42091205600"
"19096",8600000US19096,"19096","9074988","0","42091205501"
"18244",8600000US18244,"18244","2488340","11440","42025020801"
"18244",8600000US18244,"18244","2488340","11440","42025020501"
"18244",8600000US18244,"18244","2488340","11440","42025020700"
"18244",8600000US18244,"18244","2488340","11440","42079216800"
"19013",8600000US19013,"19013","14811384","8384","42045405100"
"19013",8600000US19013,"19013","14811384","8384","42045405200"
"19013",8600000US19013,"19013","14811384","8384","42045405300"
"19013",8600000US19013,"19013","14811384","8384","42045405400"
"19013",8600000US19013,"19013","14811384","8384","42045406402"
"19013",8600000US19013,"19013","14811384","8384","42045406100"
"19013",8600000US19013,"19013","14811384","8384","42045406201"
"19013",8600000US19013,"19013","14811384","8384","42045406300"
"19013",8600000US19013,"19013","14811384","8384","42045404102"
"19013",8600000US19013,"19013","14811384","8384","42045404400"
"19013",8600000US19013,"19013","14811384","8384","42045407404"
"19013",8600000US19013,"19013","14811384","8384","42045406802"
"19013",8600000US19013,"19013","14811384","8384","42045404101"
"19013",8600000US19013,"19013","14811384","8384","42045404800"
"19013",8600000US19013,"19013","14811384","8384","42045404900"
"19013",8600000US19013,"19013","14811384","8384","42045405000"
"19013",8600000US19013,"19013","14811384","8384","42045406700"
"19013",8600000US19013,"19013","14811384","8384","42045406801"
"19013",8600000US19013,"19013","14811384","8384","42045404300"
"19013",8600000US19013,"19013","14811384","8384","42045404500"
"19013",8600000US19013,"19013","14811384","8384","42045404600"
"19013",8600000US19013,"19013","14811384","8384","42045404700"
"19013",8600000US19013,"19013","14811384","8384","42045406500"
"19013",8600000US19013,"19013","14811384","8384","42045410700"
"19013",8600000US19013,"19013","14811384","8384","42045410800"
"18405",8600000US18405,"18405","95585270","3914778","42103950203"
"18405",8600000US18405,"18405","95585270","3914778","42103950204"
"18405",8600000US18405,"18405","95585270","3914778","42127960500"
"18405",8600000US18405,"18405","95585270","3914778","42127960600"
"17016",8600000US17016,"17016","1876768","0","42075004200"
"17016",8600000US17016,"17016","1876768","0","42075003200"
"17302",8600000US17302,"17302","99554163","354129","42133023722"
"17302",8600000US17302,"17302","99554163","354129","42133024002"
"17302",8600000US17302,"17302","99554163","354129","42133023902"
"17302",8600000US17302,"17302","99554163","354129","42133023721"
"17302",8600000US17302,"17302","99554163","354129","42133024001"
"17302",8600000US17302,"17302","99554163","354129","42071014502"
"17302",8600000US17302,"17302","99554163","354129","42071014501"
"17847",8600000US17847,"17847","121556886","4424176","42093050100"
"17847",8600000US17847,"17847","121556886","4424176","42093050400"
"17847",8600000US17847,"17847","121556886","4424176","42119980800"
"17847",8600000US17847,"17847","121556886","4424176","42097080400"
"17847",8600000US17847,"17847","121556886","4424176","42097080100"
"17847",8600000US17847,"17847","121556886","4424176","42097080500"
"17847",8600000US17847,"17847","121556886","4424176","42097080200"
"17847",8600000US17847,"17847","121556886","4424176","42119090102"
"17847",8600000US17847,"17847","121556886","4424176","42119090600"
"17847",8600000US17847,"17847","121556886","4424176","42119090700"
"17847",8600000US17847,"17847","121556886","4424176","42119090502"
"17847",8600000US17847,"17847","121556886","4424176","42097080301"
"17847",8600000US17847,"17847","121556886","4424176","42097080302"
"17946",8600000US17946,"17946","4950553","35605","42107000100"
"17946",8600000US17946,"17946","4950553","35605","42107000901"
"17946",8600000US17946,"17946","4950553","35605","42107000700"
"17901",8600000US17901,"17901","202072418","904249","42107001400"
"17901",8600000US17901,"17901","202072418","904249","42107001300"
"17901",8600000US17901,"17901","202072418","904249","42107003500"
"17901",8600000US17901,"17901","202072418","904249","42107001800"
"17901",8600000US17901,"17901","202072418","904249","42107000901"
"17901",8600000US17901,"17901","202072418","904249","42107000902"
"17901",8600000US17901,"17901","202072418","904249","42107001902"
"17901",8600000US17901,"17901","202072418","904249","42107001901"
"17901",8600000US17901,"17901","202072418","904249","42107001500"
"17901",8600000US17901,"17901","202072418","904249","42107002100"
"17901",8600000US17901,"17901","202072418","904249","42107002300"
"17901",8600000US17901,"17901","202072418","904249","42107002400"
"17901",8600000US17901,"17901","202072418","904249","42107002200"
"17901",8600000US17901,"17901","202072418","904249","42107001600"
"17901",8600000US17901,"17901","202072418","904249","42107003200"
"17901",8600000US17901,"17901","202072418","904249","42107001200"
"17901",8600000US17901,"17901","202072418","904249","42107002000"
"17901",8600000US17901,"17901","202072418","904249","42107001100"
"17901",8600000US17901,"17901","202072418","904249","42107001700"
